Process Capture Log - 20260313_230324
--------------------------------------------------------------------------------
PID        Name                      Status          User                
--------------------------------------------------------------------------------
0          System Idle Process       running         NT AUTHORITY\SYSTEM 
4          System                    running         NT AUTHORITY\SYSTEM 
176        Registry                  running         None                
200        python3.11.exe            running         DESKTOP-6HBDP9T\JMD 
584        smss.exe                  running         None                
736        services.exe              running         None                
760        lsass.exe                 running         None                
804        svchost.exe               running         None                
828        svchost.exe               running         None                
836        csrss.exe                 running         None                
916        csrss.exe                 running         None                
932        wininit.exe               running         None                
1016       winlogon.exe              running         None                
1080       svchost.exe               running         None                
1112       wlanext.exe               running         None                
1148       svchost.exe               running         None                
1176       WUDFHost.exe              running         None                
1228       fontdrvhost.exe           running         None                
1236       fontdrvhost.exe           running         None                
1312       svchost.exe               running         None                
1360       svchost.exe               running         None                
1420       WUDFHost.exe              running         None                
1472       msedge.exe                running         DESKTOP-6HBDP9T\JMD 
1488       WUDFHost.exe              running         None                
1548       dwm.exe                   running         None                
1576       Antigravity.exe           running         DESKTOP-6HBDP9T\JMD 
1636       svchost.exe               running         None                
1640       svchost.exe               running         None                
1676       WUDFHost.exe              running         None                
1776       igfxCUIService.exe        running         None                
1780       svchost.exe               running         None                
1812       svchost.exe               running         None                
1820       svchost.exe               running         None                
1840       svchost.exe               running         None                
1900       svchost.exe               running         None                
1952       IntelCpHDCPSvc.exe        running         None                
2052       svchost.exe               running         None                
2064       svchost.exe               running         None                
2136       msedgewebview2.exe        running         DESKTOP-6HBDP9T\JMD 
2260       svchost.exe               running         None                
2352       svchost.exe               running         None                
2368       SynTPEnhService.exe       running         None                
2396       msedgewebview2.exe        running         DESKTOP-6HBDP9T\JMD 
2484       svchost.exe               running         None                
2524       svchost.exe               running         None                
2532       svchost.exe               running         None                
2604       svchost.exe               running         None                
2612       svchost.exe               running         None                
2616       svchost.exe               running         None                
2628       svchost.exe               running         None                
2704       TouchpointAnalyticsClien  running         None                
2712       NetworkCap.exe            running         None                
2720       AppHelperCap.exe          running         None                
2728       SysInfoCap.exe            running         None                
2736       DiagsCap.exe              running         None                
2844       MemCompression            running         None                
3000       svchost.exe               running         None                
3024       RuntimeBroker.exe         running         DESKTOP-6HBDP9T\JMD 
3268       svchost.exe               running         None                
3280       svchost.exe               running         DESKTOP-6HBDP9T\JMD 
3304       svchost.exe               running         None                
3372       svchost.exe               running         None                
3480       svchost.exe               running         None                
3548       svchost.exe               running         None                
3572       CompatTelRunner.exe       running         None                
3576       BridgeCommunication.exe   running         DESKTOP-6HBDP9T\JMD 
3580       msedgewebview2.exe        running         DESKTOP-6HBDP9T\JMD 
3796       svchost.exe               running         None                
3836       svchost.exe               running         None                
3848       svchost.exe               running         DESKTOP-6HBDP9T\JMD 
3884       sihost.exe                running         DESKTOP-6HBDP9T\JMD 
3904       svchost.exe               running         DESKTOP-6HBDP9T\JMD 
3948       svchost.exe               running         DESKTOP-6HBDP9T\JMD 
4000       taskhostw.exe             running         DESKTOP-6HBDP9T\JMD 
4040       MoUsoCoreWorker.exe       running         None                
4052       explorer.exe              running         DESKTOP-6HBDP9T\JMD 
4164       dasHost.exe               running         None                
4220       svchost.exe               running         None                
4252       svchost.exe               running         None                
4328       svchost.exe               running         None                
4468       svchost.exe               running         None                
4476       chrome.exe                running         DESKTOP-6HBDP9T\JMD 
4496       svchost.exe               running         None                
4532       svchost.exe               running         None                
4640       SynTPEnh.exe              running         DESKTOP-6HBDP9T\JMD 
4652       svchost.exe               running         None                
4676       msedge.exe                running         DESKTOP-6HBDP9T\JMD 
4692       Antigravity.exe           running         DESKTOP-6HBDP9T\JMD 
4764       igfxEM.exe                running         DESKTOP-6HBDP9T\JMD 
4820       ctfmon.exe                running         DESKTOP-6HBDP9T\JMD 
4872       TabTip.exe                running         DESKTOP-6HBDP9T\JMD 
4984       unsecapp.exe              running         None                
5036       dllhost.exe               running         DESKTOP-6HBDP9T\JMD 
5060       msedgewebview2.exe        running         DESKTOP-6HBDP9T\JMD 
5072       svchost.exe               running         None                
5076       Antigravity.exe           running         DESKTOP-6HBDP9T\JMD 
5104       WmiPrvSE.exe              running         None                
5164       HotKeyServiceUWP.exe      running         None                
5244       svchost.exe               running         None                
5252       svchost.exe               running         None                
5316       svchost.exe               running         None                
5356       svchost.exe               running         None                
5372       svchost.exe               running         None                
5380       svchost.exe               running         None                
5452       ReadyForService.exe       running         None                
5492       vmware-authd.exe          running         None                
5556       svchost.exe               running         None                
